stunde;theta_e;I_N;I_N_dir;I_N_dif;I_E;I_E_dir;I_E_dif;I_S;I_S_dir;I_S_dif;I_W;I_W_dir;I_W_dif;I_H;I_H_dir;I_H_dif
1;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
6;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
7;3.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
8;2.2;4.05;0.0;4.05;9.501;5.451;4.05;7.373;3.323;4.05;4.05;0.0;4.05;6.701;0.083;6.618
9;3.3;46.82;0.0;46.82;178.72;131.9;46.82;164.095;117.275;46.82;46.82;0.0;46.82;98.823;31.162;67.661
10;7.2;57.29;0.0;57.29;91.153;33.863;57.29;102.849;45.559;57.29;57.29;0.0;57.29;117.893;18.234;99.659
11;7.8;89.226;0.0;89.226;386.06;296.834;89.226;781.365;692.139;89.226;89.226;0.0;89.226;388.305;328.558;59.747
12;8.9;87.987;0.0;87.987;216.157;128.17;87.987;959.589;871.601;87.987;87.987;0.0;87.987;484.464;443.415;41.049
13;9.4;72.669;0.0;72.669;72.669;0.0;72.669;934.896;862.228;72.669;179.998;107.329;72.669;464.489;439.768;24.721
14;10.6;52.561;0.0;52.561;52.561;0.0;52.561;858.999;806.438;52.561;378.915;326.354;52.561;397.358;386.189;11.169
15;10;29.536;0.0;29.536;29.536;0.0;29.536;670.663;641.127;29.536;488.159;458.623;29.536;264.313;261.763;2.55
16;9.4;12.482;0.0;12.482;12.482;0.0;12.482;458.323;445.842;12.482;498.164;485.682;12.482;124.815;124.815;0.0
17;6.7;9.967;0.0;9.967;9.967;0.0;9.967;69.914;59.947;9.967;105.269;95.302;9.967;13.124;3.055;10.069
18;5.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
19;2.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
20;2.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
21;1.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
22;0.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
23;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
24;-4.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25;-5.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
26;-7.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
27;-8.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
28;-9.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
29;-10.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
30;-11.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
